Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureTreeSize,measureNumLeaves,measureOutOfBagError
german_credit,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242107E7,900.0,100.0,74.0,26.0,0.0,74.0,26.0,0.0,0.36893203883495146,0.2781883761985497,0.48818672843059524,66.20736552271568,106.53102803851004,88.12915743614369,229.35547163477395,-141.22631419863026,0.8812915743614369,2.2935547163477397,-1.4122631419863025,26.38725274188488,0.2638725274188488,29.941569293913272,0.8285714285714286,58.0,0.4666666666666667,14.0,0.5333333333333333,16.0,0.17142857142857143,12.0,0.8055555555555556,0.8285714285714286,0.8169014084507044,0.36936750089587606,0.7214285714285714,0.8566598115457851,0.74,0.3780952380952381,0.6219047619047618,0.26,0.7353174603174604,0.74,0.7373482272948033,0.36936750089587606,0.7214285714285714,0.7676106372387728,0.6843127731908694,0.74,13.761,0.003,13.546875,0.0,13546.875,0.0,128786.0,181623.0,24023.0,82.0,62.0,?,?,?,?,?
german_credit,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242107E7,900.0,100.0,69.0,31.0,0.0,69.0,31.0,0.0,0.24019607843137247,0.31114943809499057,0.5248030422469296,74.05192431706654,114.52135904643167,88.12915743614369,327.16857336085957,-239.03941592471588,0.8812915743614369,3.271685733608596,-2.3903941592471587,17.87664714274588,0.1787664714274588,20.284600083347986,0.8,56.0,0.5666666666666667,17.0,0.43333333333333335,13.0,0.2,14.0,0.7671232876712328,0.8,0.7832167832167832,0.24084804227762924,0.5942857142857143,0.7172346900656872,0.69,0.45666666666666667,0.5433333333333333,0.31,0.6814307458143074,0.69,0.6850938535149063,0.24084804227762924,0.5942857142857143,0.6324383075067115,0.6196785670469881,0.69,13.42,0.004,13.046875,0.0,13046.875,0.0,128786.0,181623.0,24023.0,78.0,60.0,?,?,?,?,?
german_credit,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242107E7,900.0,100.0,71.0,29.0,0.0,71.0,29.0,0.0,0.27499999999999997,0.2795781975432632,0.49085446642459774,66.53813566860792,107.11317592268563,88.12915743614369,205.01396936467154,-116.88481192852785,0.8812915743614369,2.0501396936467153,-1.1688481192852784,24.828251982149215,0.24828251982149216,28.17257387277211,0.8285714285714286,58.0,0.5666666666666667,17.0,0.43333333333333335,13.0,0.17142857142857143,12.0,0.7733333333333333,0.8285714285714286,0.7999999999999999,0.27717394687343333,0.729047619047619,0.8649633395926082,0.71,0.4480952380952381,0.5519047619047619,0.29,0.6973333333333334,0.71,0.7018181818181817,0.2771739468734334,0.7290476190476189,0.7760962221545264,0.6363636363636364,0.71,13.412,0.002,13.203125,0.015625,13203.125,15.625,128786.0,181623.0,24023.0,85.0,60.5,?,?,?,?,?
german_credit,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242108E7,900.0,100.0,69.0,31.0,0.0,69.0,31.0,0.0,0.24019607843137247,0.30665422570427814,0.515169679141602,72.9820874895144,112.41918785800556,88.12915743614369,151.7815373188834,-63.65237988273972,0.8812915743614369,1.5178153731888342,-0.6365237988273972,18.874677925030532,0.18874677925030534,21.41706385733539,0.8,56.0,0.5666666666666667,17.0,0.43333333333333335,13.0,0.2,14.0,0.7671232876712328,0.8,0.7832167832167832,0.24084804227762924,0.7880952380952381,0.9120294452606471,0.69,0.45666666666666667,0.5433333333333333,0.31,0.6814307458143074,0.69,0.6850938535149063,0.24084804227762924,0.7880952380952381,0.8261394190563209,0.6196785670469881,0.69,13.352,0.002,13.15625,0.0,13156.25,0.0,128786.0,181623.0,24023.0,82.0,62.5,?,?,?,?,?
german_credit,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242108E7,900.0,100.0,71.0,29.0,0.0,71.0,29.0,0.0,0.3526785714285713,0.2910425586036324,0.49239205639831296,69.26659310302824,107.44870540569345,88.12915743614369,190.8102653193165,-102.68110788317281,0.8812915743614369,1.908102653193165,-1.0268110788317282,22.83139487800454,0.2283139487800454,25.9067436274398,0.7428571428571429,52.0,0.36666666666666664,11.0,0.6333333333333333,19.0,0.2571428571428571,18.0,0.8253968253968254,0.7428571428571429,0.7819548872180451,0.35706419840213055,0.7471428571428571,0.8616922341842255,0.71,0.3338095238095238,0.6661904761904762,0.29,0.7318318318318318,0.71,0.7175176747839749,0.3570641984021305,0.7471428571428571,0.7718326065928691,0.6745595331612613,0.71,13.308,0.002,13.0625,0.0,13062.5,0.0,128786.0,181623.0,24023.0,85.0,66.5,?,?,?,?,?
german_credit,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242108E7,900.0,100.0,70.0,30.0,0.0,70.0,30.0,0.0,0.2718446601941747,0.3055827754371901,0.5165908343907974,72.72708798003855,112.72930921297524,88.12915743614369,186.2303847488869,-98.10122731274322,0.8812915743614369,1.8623038474888691,-0.9810122731274322,18.990631875162208,0.1899063187516221,21.548636600687317,0.8,56.0,0.5333333333333333,16.0,0.4666666666666667,14.0,0.2,14.0,0.7777777777777778,0.8,0.7887323943661971,0.2721655269759087,0.7761904761904762,0.892229415891734,0.7,0.43333333333333335,0.5666666666666667,0.3,0.6944444444444444,0.7,0.6969402622632346,0.2721655269759087,0.7761904761904762,0.8128148125323479,0.6357455075279261,0.7,13.343,0.002,13.109375,0.015625,13109.375,15.625,128786.0,181623.0,24023.0,83.0,62.0,?,?,?,?,?
german_credit,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242108E7,900.0,100.0,68.0,32.0,0.0,68.0,32.0,0.0,0.29203539823008856,0.3202119487604929,0.528664662909214,76.20875403218082,115.36403336568326,88.12915743614369,195.97541842121728,-107.8462609850736,0.8812915743614369,1.9597541842121728,-1.078462609850736,16.003346016099776,0.16003346016099776,18.15896858845544,0.7142857142857143,50.0,0.4,12.0,0.6,18.0,0.2857142857142857,20.0,0.8064516129032258,0.7142857142857143,0.7575757575757576,0.2967198802971756,0.7476190476190476,0.8866483126469218,0.68,0.3657142857142857,0.6342857142857143,0.32,0.7066213921901527,0.68,0.689126559714795,0.2967198802971756,0.7476190476190476,0.7883025897024143,0.64349376114082,0.68,13.342,0.001,13.078125,0.0,13078.125,0.0,128786.0,181623.0,24023.0,82.0,63.5,?,?,?,?,?
german_credit,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242109E7,900.0,100.0,72.0,28.0,0.0,72.0,28.0,0.0,0.3203883495145631,0.2886298972815051,0.502558548774215,68.69239244008398,109.6672148842945,88.12915743614369,330.9777877002446,-242.84863026410093,0.8812915743614369,3.309777877002446,-2.4284863026410095,23.693363278864158,0.23693363278864157,26.884817656439992,0.8142857142857143,57.0,0.5,15.0,0.5,15.0,0.18571428571428572,13.0,0.7916666666666666,0.8142857142857143,0.8028169014084506,0.3207665139358924,0.6495238095238095,0.7784743733784157,0.72,0.4057142857142857,0.5942857142857143,0.28,0.7148809523809524,0.72,0.7171442447790188,0.32076651393589245,0.6495238095238095,0.6984131439168639,0.6600291403593977,0.72,13.463,0.002,13.1875,0.0,13187.5,0.0,128786.0,181623.0,24023.0,82.0,63.0,?,?,?,?,?
german_credit,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242109E7,900.0,100.0,74.0,26.0,0.0,74.0,26.0,0.0,0.3434343434343434,0.27296759037003754,0.4794143388085338,64.96484604585078,104.61673657918082,88.12915743614369,165.34846776910194,-77.21931033295826,0.8812915743614369,1.6534846776910195,-0.7721931033295826,26.723064670489475,0.26723064670489477,30.322614498898826,0.8571428571428571,60.0,0.5333333333333333,16.0,0.4666666666666667,14.0,0.14285714285714285,10.0,0.7894736842105263,0.8571428571428571,0.8219178082191781,0.3474456257081473,0.7619047619047619,0.8793182519476344,0.74,0.4161904761904762,0.5838095238095238,0.26,0.7276315789473685,0.74,0.7308980213089802,0.3474456257081473,0.7619047619047618,0.8006476057782989,0.6702181633688484,0.74,13.362,0.001,13.171875,0.0,13171.875,0.0,128786.0,181623.0,24023.0,85.0,63.0,?,?,?,?,?
german_credit,1,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01905242109E7,900.0,100.0,77.0,23.0,0.0,77.0,23.0,0.0,0.4575471698113209,0.22841391141096573,0.43284154476036424,54.36130556535398,94.4537244782022,88.12915743614369,166.35139610395532,-78.22223866781164,0.8812915743614369,1.6635139610395533,-0.7822223866781164,36.76412416897755,0.3676412416897755,41.716187058313785,0.8285714285714286,58.0,0.36666666666666664,11.0,0.6333333333333333,19.0,0.17142857142857143,12.0,0.8405797101449275,0.8285714285714286,0.8345323741007195,0.4576744777224246,0.8047619047619048,0.8849440464030486,0.77,0.3080952380952381,0.6919047619047619,0.23,0.7722767648433847,0.77,0.771057907772143,0.45767447772242464,0.8047619047619048,0.8370473985652558,0.7287415968864254,0.77,13.424,0.001,13.1875,0.0,13187.5,0.0,128786.0,181623.0,24023.0,88.0,62.5,?,?,?,?,?
